race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,322,NETHERLANDS,9040,NED,4:12.281,Q
0,2,3,,304,CANADA,9049,CAN,4:12.494,Q
0,3,2,,309,GERMANY,9080,GER,4:15.488,
0,4,4,,310,GREATBRITAIN,9171,GBR,4:30.552,
1,1,2,,326,RUSSIA,9046,RUS,4:14.756,Q
1,2,3,,317,JAPAN,9047,JPN,4:15.431,Q
1,3,1,,328,UNITEDSTATES,9045,USA,4:16.222,
2,2,1,,312,HUNGARY,9043,HUN,4:22.330,Q
2,PEN,2,,308,FRANCE,9042,FRA,PEN,
3,1,4,,306,CHINA,9048,CHN,4:09.900,Q
3,2,2,,315,ITALY,9039,ITA,4:11.548,Q
3,3,1,,324,POLAND,9041,POL,4:14.793,
3,4,3,,319,KAZAKHSTAN,9149,KAZ,4:15.662,
